city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details,price_per_sqm,rooms_per_sqm,bath_per_room,luxury_score,city_encoded,front_encoded,property_age_encoded
الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,0.024,0.8333333333333334,0.7,2,5,0
الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,"الجزء الثاني (يوجد جزء ثالث واخير )
======================


فيلا مجددة بالكامل( درج بالصالة ) للايجار :
==========================

      فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا ...",227.27272727272728,0.02556818181818182,0.5555555555555556,0.7,2,1,8
الرياض,   حي العقيق ,شمال,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000,"للإيجار فيلا ممتازه vip حي عقيق الموسىمكونه من الدور الارضي غرفة سائق بدورة مياه ملحق خرجي كراج سيارة حوش كبير
مجلس و مجلط و صاله كبيره و مطبخ و دورين مياه 
الدور الاول مكون من ٤ اجنحه وصاله كبيره و ٤ دورات مياه 
الدور الثاني مكون من غرفتين و صاله و ...",300.0,0.013333333333333334,0.625,1.0,2,5,9
الرياض,   حي عكاظ ,شرق,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,"المساحه ٣٦٠  
حديقه وشلال و٦ غرف نوم وملحق خارجي مع مشب  
تحت استقبال مجلس رجال ومجالس نساء وصاله ومقلط ومدخل سياره جديده لم يسكن فيها احد من قبل
الموقع غير دقيق 
للتواصل واتس اب او اتصال 
٠٥٣٣٨٨٣١٥٩
نقدم افضل التمويلات العقارية ✅✅
ونحن نتعامل مع جمي...",111.11111111111111,0.019444444444444445,0.42857142857142855,0.7,2,4,0
الرياض,   حي الورود ,غرب,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000,"فيلا للايجار في منطقه حيويه تحتاج الى اعاده تأهيل وبالامكان تخفيض الايجار للسنه الأولى بمقابل عمل الاصلاحات والترميم
علماً بأن الايجار الفعلي للفيلا 160ألف . 
تناسب الافراد والمقيمين لوقوعها في المنطقه الحيويه 
للتواصل 
0530005055منصور.              ...",200.0,0.01,1.0,1.0,2,8,1
الرياض,   حي النرجس ,شمال شرقي,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000,"للايجار فيلا درج صاله في حي النرجس 
شغله شخصية 
مكون من ٢ مدخل سياره 
وغرف سايق 
مدخل رجال ومدخل نساء 
وملحق خارجي وحمام
مجلس صاله مقلط 
٣غرف نوام ومطبخ راكب 
الدور الأول ٣غرف نوام وصاله 
٥حمام
مكيفات اسبلت راكب 
شغله شخصية 
الفلا تفتح علي ٣شوارع
غرب...",244.44444444444446,0.017777777777777778,0.625,1.0,2,6,0
الرياض,   حي المونسية ,شرق,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000,"فيلا للايجار ثلاث ادوار درج داخلي 
حي المونسية مربع 37 
قريبة من طريق الصحابة 
الدور الاول 
مدخل سيارة 
مقلط صالة مجلس + 2 دورة مياة 
مطبخ + مستودع + حوش غسيل 
الثاني 
4 غرف نوم + صالة + 3 دورات مياة 
الدور الثالث 
4 غرف نوم + دورتين مياة + صالة 
الا...",325.0,0.045,0.5555555555555556,0.7,2,4,6
الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,"الجزء الثالث والاخير للتصوير
==================


فيلا مجددة بالكامل( درج بالصالة ) للايجار :
==========================

      فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا من ( 3 مداخ...",227.27272727272728,0.02556818181818182,0.5555555555555556,0.7,2,1,8
الرياض,   حي الملقا ,جنوب,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000,فلة للإيجار في حي الملقا راكب مكيفات ومطبخ مجددة الارضي مجلس ومقلط وصالة ومدخل سيارة والعلوي ٤ غرف نوم والسطح ٥رفتين وغرفة شغالة وغسيل  ب ٨٥ الف دفعتين,425.0,0.03,0.8333333333333334,0.7,2,1,7
الرياض,   حي العارض ,شرق,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000,فلة ممتازة للايجار في حي العارض مستخدمة عدة سنوات مؤثثة اثاث جديد فخم الارضي غرفة كبار سن ومجلس رجال ومقلط رجال ومجلس نساء وصالة ومطبخ والعلوي ٣ نوم والسطح غرفة شغالة ومستودع وغرفة غسيل ولعب أطفال يوجد فيبر نت وابواب إلكترونية وتحكم اكتروني فيها ب ١١...,293.3333333333333,0.013333333333333334,1.0,1.0,2,4,0
الرياض,   حي الربوة ,غرب,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000,"فيلا مستقلة بموقع حيوي شرق طريق النهضة وغرب الدائري الشرقي - حي الربوة.
قريبة من الأسواق التجارية والمطاعم والمدارس الحكومية والأهلية والعالمية.
توفر جميع الخدمات من كهرباء وماء وصرف صحي وألياف بصرية.
سخان مركزي خاص للفيلا.
عشرة (10) مكيفات سبليت.
مط...",239.3939393939394,0.021212121212121213,0.7142857142857143,1.0,2,8,1
الرياض,   حي القيروان ,شرق,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000,"فله للايجار فيبالجبيله 
دورين مدخل سياره حوش كبير 
مقلط + مجلس + صاله + غرفه ضيوف + مطبخ + دورتين مياه 
الدور الثاني 
٣ غرف نوم + غرفه خادمه بدوره مياه مستقله 
٣ دورات مياه

للاستفسار التواصل ابو صقر  0550783876",70.0,0.014,0.5714285714285714,0.7,2,4,0
الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,0.024,0.8333333333333334,0.7,2,5,0
الرياض,   حي عليشة ,شمال,325,other,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000,"للايجار فله يحي عليشه الموقع ممتاز جدا 
 الاستفسار اتصل 0569665214",153.84615384615384,0.021538461538461538,0.5714285714285714,0.7,2,5,15
الرياض,   حي السليمانية ,غرب,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000,فيلا للايجار في حي السليمانيه درج صاله مكيفات مركزي وغاز مركزي ومطبخ راكب,409.09090909090907,0.031818181818181815,0.5714285714285714,0.7,2,8,14
الرياض,   حي الملك فيصل ,غرب,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000,"فيلا درج داخلي 

مجلس+ مقلط + صالتين+ ٥ غرف نوم+ ٥ دورات مياة+ مطبخ+ غرفة غادمة مع دورة مياة+ سطح+حوش

مطبخ راكب 
ومكيفات راكبة 

الموقع مميز وقريبة منها الخدمات 

التواصل 
٠٥٦٦٩٢٠٠٢٢",160.0,0.036,0.5555555555555556,0.7,2,8,5
